,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100,highway-mpg,price,horsepower-binned
0,3,140,alfa-romero,gas,std,two,convertible,rwd,front,88.6,-0.42547990033500543,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,11.19047619047619,27,13495.0,Low
1,3,140,alfa-romero,gas,std,two,convertible,rwd,front,88.6,-0.42547990033500543,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,11.19047619047619,27,16500.0,Low
2,1,140,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,-0.23094769053589548,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000,12.368421052631579,26,16500.0,Medium
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.20674978151210519,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102.0,5500,9.791666666666666,30,13950.0,Low
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.20674978151210519,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115.0,5500,13.055555555555555,22,17450.0,Low
5,2,140,audi,gas,std,two,sedan,fwd,front,99.8,0.26348834270351423,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,12.368421052631579,25,15250.0,Low
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,1.5117366889144752,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,12.368421052631579,25,17710.0,Low
7,1,140,audi,gas,std,four,wagon,fwd,front,105.8,1.5117366889144752,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,12.368421052631579,25,18920.0,Low
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,1.5117366889144752,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140.0,5500,13.823529411764707,20,23875.0,Medium
9,0,140,audi,gas,turbo,two,hatchback,4wd,front,99.5,0.33643792137817785,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.40,7.0,160.0,5500,14.6875,22,104.25615763546799,Medium
10,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.22296079899536544,64.8,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,10.217391304347826,29,16430.0,Low
11,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.22296079899536544,64.8,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,10.217391304347826,29,16925.0,Low
12,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.22296079899536544,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,11.19047619047619,28,20970.0,Low
13,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.22296079899536544,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,11.19047619047619,28,21105.0,Low
14,1,140,bmw,gas,std,four,sedan,rwd,front,103.5,1.2118328654741792,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,11.75,25,24565.0,Low
15,0,140,bmw,gas,std,four,sedan,rwd,front,103.5,1.2118328654741792,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,14.6875,22,30760.0,Medium
16,0,140,bmw,gas,std,two,sedan,rwd,front,103.5,1.6008972850724028,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,14.6875,22,41315.0,Medium
17,0,140,bmw,gas,std,four,sedan,rwd,front,110.0,1.86027356480455,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,15.666666666666666,20,36880.0,Medium
18,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,-2.6707058217664157,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100,5.0,53,5151.0,Low
19,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,-1.4710905280052282,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,6.184210526315789,43,6295.0,Low
20,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,-1.2360307744979695,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,6.184210526315789,43,6575.0,Low
21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,-1.3576134056224138,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500,6.351351351351352,41,5572.0,Low
